controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_range_m,progress,max_tilt_deg,motor_saturation_frac,motor_effort,decision_us
modified_fly_6dof,cluttered,15005,True,False,False,1107,22.14,85.5012167966501,3.1806560704085403,0.9753738335697252,32.38158112248191,0.0,376.2633046881642,115.4876467923126
modified_fly_6dof,cluttered,15006,True,False,False,1046,20.92,74.25594182347638,1.6827817422248235,0.9762177063945419,30.02945343715062,0.0,351.99544411133166,120.57708138208979
modified_fly_6dof,cluttered,15007,True,False,False,1088,21.76,85.02249541195117,2.709571093055218,0.9755675984314617,30.76687155335525,0.0,372.57395232486647,122.22057728863814
modified_fly_6dof,cluttered,15008,True,False,False,889,17.78,69.8003070343372,0.8734883266362525,0.9753569542660142,28.65808792924339,0.02249718785151856,302.4524350436511,123.06626959215231
modified_fly_6dof,cluttered,15009,True,False,False,916,18.32,71.16928398213363,1.9080649123950328,0.9751424068530817,28.343455977741176,0.0,306.3565970505591,125.1760066495029
modified_fly_6dof,cluttered,15010,True,False,False,1279,25.580000000000002,88.54664515609747,1.1682847528798965,0.9759410406720628,37.780898913462465,0.009382329945269743,444.2747367818339,119.05963183380663
modified_fly_6dof,cluttered,15011,True,False,False,879,17.580000000000002,69.70583675791092,2.7983037345820305,0.9750810870310666,29.219823347136476,0.0,300.1497438063655,122.58627102710307
flywire_raw_6dof,cluttered,15000,False,True,False,575,11.5,25.870104205485383,0.03155183942990637,0.10325208076278236,26.531465931066112,0.0,184.47419897508232,255.03635091202645
flywire_raw_6dof,cluttered,15001,False,True,False,624,12.48,31.60756187021325,0.04000047963644503,0.24728544155631804,26.659820686927677,0.0,203.92306626438932,259.37588473495384
flywire_raw_6dof,cluttered,15002,False,True,False,637,12.74,33.4490844252817,0.0038195935673027053,0.2689836332913399,26.26779426100557,0.0,206.57562446420636,263.1573566759471
flywire_raw_6dof,cluttered,15003,False,True,False,1122,22.44,75.01310166211985,0.01291594258655255,0.8086206307204704,26.466472402931903,0.0035650623885918,359.8107561887798,268.56478572130413
flywire_raw_6dof,cluttered,15004,False,True,False,548,10.96,22.724768661601413,0.04457000540214027,-0.027987197885311454,21.201732204667813,0.0,177.81430497690727,274.9961495814152
flywire_raw_6dof,cluttered,15005,False,True,False,744,14.88,42.766436791997144,0.05209884345498789,0.40338930993469047,26.460470689730673,0.0,238.78395373431883,265.49341004361867
flywire_raw_6dof,cluttered,15006,False,True,False,673,13.46,37.871664013642025,0.008139598078960123,0.36023171055446435,26.682873688504785,0.0,215.74330680437689,257.69565068460867
flywire_raw_6dof,cluttered,15007,False,True,False,550,11.0,23.14497934540058,0.012514841189798103,-0.0058632138735230654,26.087962576066733,0.014545454545454545,177.2736637738634,271.6959861572832
flywire_raw_6dof,cluttered,15008,False,True,False,763,15.26,45.636741698444595,0.040432123307419056,0.46595512463831923,26.619476675601547,0.0,247.23865050068474,262.7907115454098
flywire_raw_6dof,cluttered,15009,False,True,False,403,8.06,18.088738168991284,0.012106972169776853,0.1429710874189759,23.469227660828558,0.009925558312655087,132.74733713252272,282.0414069136328
flywire_raw_6dof,cluttered,15010,False,True,False,635,12.700000000000001,32.509557907175136,0.02715406036429906,0.24007229953127673,25.4396117933321,0.006299212598425197,204.35276850376758,268.0980148666638
flywire_raw_6dof,cluttered,15011,False,True,False,627,12.540000000000001,32.56370596369804,0.031246586650764872,0.2534344728055502,26.751915987960217,0.0,203.1981425731124,272.4649110263225
flywire_bilateral_6dof,cluttered,15000,True,False,False,1333,26.66,93.56153678527754,1.8437016478484254,0.9756447027264452,27.463225100179333,0.012003000750187547,452.58951921163276,379.65638783319804
flywire_bilateral_6dof,cluttered,15001,True,False,False,856,17.12,61.8770516664747,3.1316552885689193,0.975197719781776,27.078932318934182,0.0,281.3811578702019,371.4818049387606
flywire_bilateral_6dof,cluttered,15002,True,False,False,1314,26.28,94.60588754888381,2.265606894170138,0.9750647571759757,31.457255609128758,0.0060882800608828,440.37827358029074,370.6148894939651
flywire_bilateral_6dof,cluttered,15003,True,False,False,1375,27.5,94.36058017472016,2.169550802411737,0.9752505886305931,30.314855476552395,0.014545454545454545,465.10263758430324,363.4435217759875
flywire_bilateral_6dof,cluttered,15004,False,False,True,3750,75.0,245.24960677296554,3.1742267452721618,0.9209053867639506,35.139276753685834,0.034133333333333335,1343.7343664387358,366.2124513335693
flywire_bilateral_6dof,cluttered,15005,True,False,False,1004,20.080000000000002,67.51934146737774,3.0429111772445943,0.9753032222203994,33.05400484003773,0.00796812749003984,330.42930627796363,379.9272919596874
flywire_bilateral_6dof,cluttered,15006,True,False,False,918,18.36,65.18520729076454,1.4913889898932868,0.9758192638710683,27.067784066925718,0.0,302.89568064863187,363.74775024697834
flywire_bilateral_6dof,cluttered,15007,True,False,False,1315,26.3,92.7359434750187,3.691234288772555,0.9751785214411486,30.80456666245586,0.012167300380228136,450.6514501146718,368.6842905275388
flywire_bilateral_6dof,cluttered,15008,True,False,False,924,18.48,67.24606166375592,1.4968601711029592,0.9757857234579476,32.991541371942944,0.012987012987012988,305.27992833747794,385.4690421497635
flywire_bilateral_6dof,cluttered,15009,True,False,False,865,17.3,62.98637988628555,3.2555931668546316,0.9758348359608476,26.859821431037663,0.0,285.0426688420365,365.5922976279554
flywire_bilateral_6dof,cluttered,15010,True,False,False,1536,30.72,103.6397750756834,1.8033355769773691,0.975602497408816,29.732745550251817,0.0026041666666666665,513.7893977330684,379.9524032122766
flywire_bilateral_6dof,cluttered,15011,True,False,False,1621,32.42,116.44201224340681,3.8507897495497714,0.9752720878124682,34.07909651080869,0.03454657618753856,572.0051321657329,373.39474636547527
classical_vfh_6dof,cluttered,15000,True,False,False,902,18.04,58.87758258795258,0.18952382499369969,0.9751021300195851,31.871378172911033,0.0,292.39499735052925,90.70299653361131
classical_vfh_6dof,cluttered,15001,True,False,False,791,15.82,59.00097372719689,0.24055134461763572,0.9756882764792345,31.871378172911033,0.0,255.97629929166936,88.58938647358858
