controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_range_m,progress,decision_us
modified_fly_3d,sparse,12013,True,False,False,224,17.92,77.14642434677145,2.35069519745537,0.9781874921955428,100.93208428380811
modified_fly_3d,sparse,12014,True,False,False,218,17.44,78.85293941683004,3.7752750924266913,0.9799038512307474,100.66888767183511
modified_fly_3d,sparse,12015,True,False,False,384,30.72,141.12274589999234,3.6708573527996275,0.9768954798651418,101.1161837899029
flywire_graph_3d,sparse,12000,False,True,False,246,19.68,72.3342020997322,0.0024414199844775067,0.8056797636162542,250.66965362776403
flywire_graph_3d,sparse,12001,False,True,False,264,21.12,73.63133854951072,0.03341397652548833,0.7076142103421021,238.19335249506614
flywire_graph_3d,sparse,12002,False,True,False,237,18.96,69.54109653889583,0.013522201009457644,0.7966398123444522,239.68744544579573
flywire_graph_3d,sparse,12003,False,True,False,194,15.52,50.47065200786509,0.045111624401285015,0.5202179181709263,235.49606665949693
flywire_graph_3d,sparse,12004,False,True,False,245,19.6,72.04688844828543,0.01112483971926486,0.8076801867879502,238.32091876324645
flywire_graph_3d,sparse,12005,False,True,False,258,20.64,74.36019830113742,0.03177900576174729,0.7650200250218411,228.76231101803597
flywire_graph_3d,sparse,12006,False,True,False,233,18.64,69.74033855298596,0.002581335381425383,0.8119149750689391,233.65635579739708
flywire_graph_3d,sparse,12007,False,True,False,242,19.36,71.441841103922,0.015144056117420413,0.80512125782633,236.3467312895131
flywire_graph_3d,sparse,12008,False,True,False,241,19.28,71.04963800636276,0.014564615232345004,0.8076279178329498,228.28345973415617
flywire_graph_3d,sparse,12009,False,True,False,234,18.72,70.06770088031216,0.0003441269896167728,0.8120424406755526,228.76105329984975
flywire_graph_3d,sparse,12010,False,True,False,171,13.68,38.333131423759625,0.031040910360954136,0.3258229370208853,237.58538851612494
flywire_graph_3d,sparse,12011,False,True,False,239,19.12,70.48587225990957,0.03156773223628939,0.8070886703559916,225.04093304712902
flywire_graph_3d,sparse,12012,False,True,False,248,19.84,70.36927351959443,0.03114293626901163,0.6691129072896811,241.05415415702268
flywire_graph_3d,sparse,12013,False,True,False,262,20.96,75.01016580920259,0.010218208205817059,0.7795285008699233,234.00236253505787
flywire_graph_3d,sparse,12014,False,True,False,236,18.88,70.59477678068029,0.028248492577732535,0.807387492238403,236.5173030569676
flywire_graph_3d,sparse,12015,False,True,False,251,20.080000000000002,71.24928031354901,0.03406246465112226,0.7345095199812792,232.07401015435855
flywire_bilateral_3d,sparse,12000,True,False,False,192,15.36,65.19828486940621,2.5589308879659356,0.9781531441860968,335.24994796607643
flywire_bilateral_3d,sparse,12001,True,False,False,196,15.68,67.8567931774489,3.613723417427125,0.9761273853118377,355.76191843648877
flywire_bilateral_3d,sparse,12002,True,False,False,194,15.52,66.28151008862802,2.4029746366247484,0.9757920528094415,343.61511958551773
flywire_bilateral_3d,sparse,12003,True,False,False,206,16.48,66.68487127759758,2.3036839795807236,0.9753759956997838,349.8353827541278
flywire_bilateral_3d,sparse,12004,True,False,False,189,15.120000000000001,65.07169175272402,3.4399815133673437,0.9764699364340692,351.5395875428877
flywire_bilateral_3d,sparse,12005,True,False,False,288,23.04,89.93513671974381,2.695591250897886,0.9753784916340937,342.9070180168815
flywire_bilateral_3d,sparse,12006,True,False,False,181,14.48,63.69607098668393,4.907284922979419,0.9769767241310411,336.50612677267407
flywire_bilateral_3d,sparse,12007,True,False,False,200,16.0,68.02822683593288,2.1624863959351472,0.9758784816504837,350.50326434429735
flywire_bilateral_3d,sparse,12008,True,False,False,192,15.36,64.6230191396079,2.2660284894752705,0.9770729688306832,364.25156516391627
flywire_bilateral_3d,sparse,12009,True,False,False,181,14.48,64.10205447156733,4.921844024039116,0.976830553512646,340.18983814906517
flywire_bilateral_3d,sparse,12010,True,False,False,191,15.280000000000001,64.91353271176872,3.5546828453843347,0.9757415660188735,333.73762920489094
flywire_bilateral_3d,sparse,12011,True,False,False,183,14.64,64.80205566668822,4.7545719467371175,0.9759882281519119,345.22805795521356
flywire_bilateral_3d,sparse,12012,True,False,False,203,16.240000000000002,67.51493508568642,3.619987199679608,0.9752842267961604,355.9257215223839
flywire_bilateral_3d,sparse,12013,True,False,False,185,14.8,64.3583056822772,4.129016823590184,0.9754151262839102,337.9077707241113
flywire_bilateral_3d,sparse,12014,True,False,False,188,15.040000000000001,65.92662371060706,2.824427162383723,0.9762187238086253,367.3359240836246
flywire_bilateral_3d,sparse,12015,True,False,False,286,22.88,87.1424708583426,2.4732464874718336,0.9774275453181703,350.9387969026355
classical_vfh_3d,sparse,12000,True,False,False,184,14.72,59.308246154364056,0.4793756985170263,0.9755751796163287,75.16969914001453
classical_vfh_3d,sparse,12001,True,False,False,211,16.88,59.66254545796914,0.1317626200465134,0.9776398857942457,69.57126144646398
classical_vfh_3d,sparse,12002,True,False,False,184,14.72,59.3204504636294,0.058015784818419736,0.9802015561393032,71.91334241171084
classical_vfh_3d,sparse,12003,True,False,False,202,16.16,59.924267020473906,0.2687554810030197,0.9793631365115507,67.83814290492325
classical_vfh_3d,sparse,12004,True,False,False,174,13.92,59.35522807246114,0.5655933124664685,0.9807892961369281,71.82549539386113
classical_vfh_3d,sparse,12005,True,False,False,177,14.16,59.49849084437482,0.6938578903836143,0.9802561581346689,70.59694745309524
classical_vfh_3d,sparse,12006,True,False,False,154,12.32,59.311703761024766,5.7550238329414825,0.9800743993818266,71.41037623385911
classical_vfh_3d,sparse,12007,True,False,False,204,16.32,59.00461570594741,0.19070224505666933,0.9755922418259622,72.08481781394677
classical_vfh_3d,sparse,12008,True,False,False,183,14.64,59.74736462553888,0.16223334987577132,0.977952942199064,69.63058484239819
classical_vfh_3d,sparse,12009,True,False,False,154,12.32,59.311703761024766,3.3630625640947596,0.9800743993818266,75.30978378876077
classical_vfh_3d,sparse,12010,True,False,False,158,12.64,59.159145997815095,1.3266969593416333,0.9777848120459486,74.28646771402299
classical_vfh_3d,sparse,12011,True,False,False,154,12.32,59.311703761024766,2.8081853856107553,0.9800743993818266,68.29431566240436
classical_vfh_3d,sparse,12012,True,False,False,166,13.280000000000001,59.376447186301235,1.65530100611663,0.9800911803092789,69.58022461194231
classical_vfh_3d,sparse,12013,True,False,False,164,13.120000000000001,59.19362084478132,1.0907460719990283,0.9783500913420311,67.58437169681689
classical_vfh_3d,sparse,12014,True,False,False,192,15.36,59.811572213458206,0.14723856088585885,0.9782155081180374,67.37440980941756
classical_vfh_3d,sparse,12015,True,False,False,184,14.72,59.686963204111755,0.167501832111129,0.9788042653196173,70.26895606110844
fly_heuristic_3d,cluttered,12000,True,False,False,377,30.16,107.45240909092894,1.1323191542104456,0.9770611599395079,85.83572089168136
fly_heuristic_3d,cluttered,12001,False,False,True,850,68.0,228.52112392901043,0.7833777504459252,0.8748453995618394,82.60721190120367
fly_heuristic_3d,cluttered,12002,True,False,False,307,24.560000000000002,94.71703869760674,1.6968883530580712,0.9766978621522032,80.18031611686712
fly_heuristic_3d,cluttered,12003,True,False,False,244,19.52,79.23838972869541,2.176258707877297,0.97710024759778,81.02762560573879
fly_heuristic_3d,cluttered,12004,True,False,False,410,32.8,115.86094847533708,0.9436022509536808,0.9780283670918362,82.64319565169876
fly_heuristic_3d,cluttered,12005,True,False,False,313,25.04,92.94461931222531,2.2285867953844285,0.977127083070663,76.82620174290177
fly_heuristic_3d,cluttered,12006,True,False,False,237,18.96,77.38882685391935,3.13170674828371,0.9756144776386253,83.04492287526402
fly_heuristic_3d,cluttered,12007,True,False,False,232,18.56,72.5443471013446,1.9653804625604332,0.9770291358701704,86.0127853731432
fly_heuristic_3d,cluttered,12008,True,False,False,253,20.240000000000002,80.42062442218625,0.9665110571542379,0.9761398319516129,81.0678413307125
fly_heuristic_3d,cluttered,12009,False,False,True,850,68.0,247.15834931314495,1.5636343315048025,0.895453692619475,81.73247497967061
fly_heuristic_3d,cluttered,12010,True,False,False,377,30.16,103.845192029137,1.7361437721196018,0.9752063029830497,80.50547708912853
fly_heuristic_3d,cluttered,12011,True,False,False,385,30.8,116.18048517013534,1.309533843393838,0.9783262630405078,79.64687969221117
fly_heuristic_3d,cluttered,12012,False,False,True,850,68.0,241.0153749672803,1.5267743162026388,0.9372335109340965,78.93152706160703
fly_heuristic_3d,cluttered,12013,True,False,False,222,17.76,71.63908066307886,2.4263690124630024,0.975442761246354,78.94172030081553
fly_heuristic_3d,cluttered,12014,True,False,False,224,17.92,77.70888782041548,3.515689051565202,0.9780610542010428,80.03289284325936
fly_heuristic_3d,cluttered,12015,True,False,False,224,17.92,76.66822986815768,2.4739367008085154,0.9779273841368388,79.864500678793
modified_fly_3d,cluttered,12000,True,False,False,325,26.0,99.50622406388936,0.884526141252937,0.9782142335087033,98.42950886545273
modified_fly_3d,cluttered,12001,True,False,False,242,19.36,81.02093240463923,3.0194924511098744,0.9784810142913889,98.53623216694668
modified_fly_3d,cluttered,12002,True,False,False,247,19.76,84.90384517190913,3.5184064020423844,0.9769919511330092,95.80874869313378
modified_fly_3d,cluttered,12003,True,False,False,198,15.84,70.00131881542377,4.011425949621946,0.9806315221266659,94.10528288542697
modified_fly_3d,cluttered,12004,True,False,False,255,20.400000000000002,82.45333058524743,3.2614098251993195,0.9758946087991758,101.26876763488148
modified_fly_3d,cluttered,12005,True,False,False,239,19.12,75.62848527856373,1.2097878033335179,0.9772823152152584,97.51953837309796
modified_fly_3d,cluttered,12006,True,False,False,231,18.48,81.47970644241256,4.923452882014842,0.9801403525360352,105.45625859363513
modified_fly_3d,cluttered,12007,True,False,False,296,23.68,103.31918300782887,2.953492482023639,0.9799862333413868,97.77176554151181
modified_fly_3d,cluttered,12008,True,False,False,245,19.6,84.00299421210644,2.283600063748647,0.975090192753075,100.8173935495469
modified_fly_3d,cluttered,12009,True,False,False,246,19.68,82.39353018790725,3.940954471806798,0.9776773139058631,99.18712246103016
modified_fly_3d,cluttered,12010,True,False,False,228,18.240000000000002,72.94325978353264,2.5895501876992397,0.9772189096465895,103.2801274528825
modified_fly_3d,cluttered,12011,True,False,False,392,31.36,120.76207588682243,1.3696730528752201,0.9787029606654004,102.71951062034587
