rank,node_index,root_id,type,side,gate,is_input,is_output
103,137,720575940620346758,LPLC4,left,0.01460404135286808,False,False
104,32,720575940612380723,LC4,right,0.014381307177245617,True,False
105,132,720575940620054694,DNp11,left,0.01421996671706438,False,False
106,225,720575940626617084,LPLC2,left,0.01405196264386177,True,False
107,315,720575940635234478,LPLC2,left,0.013704597018659115,True,False
108,38,720575940612766691,LPLC2,left,0.013590686954557896,True,False
109,115,720575940618818629,LPLC4,left,0.013437120243906975,False,False
110,213,720575940625934973,LC4,left,0.013337647542357445,True,False
111,146,720575940620903551,LC4,left,0.012613089755177498,True,False
112,341,720575940639817947,LC4,right,0.012525489553809166,True,False
113,81,720575940616066705,LC4,right,0.012427273206412792,True,False
114,306,720575940633746515,PVLP015,left,0.01236299891024828,False,False
115,365,720575940645821316,LC4,right,0.012295781634747982,True,False
116,122,720575940619309632,LPLC4,left,0.012153316289186478,False,False
117,219,720575940626408454,LPLC4,left,0.011887209489941597,False,False
118,92,720575940617289782,LPLC2,left,0.01166912354528904,True,False
119,318,720575940635516084,LPLC2,left,0.011433355510234833,True,False
120,344,720575940639895003,LPLC2,left,0.011313860304653645,True,False
121,117,720575940618927892,LPLC2,left,0.01130871381610632,True,False
122,359,720575940643740964,LPLC2,left,0.011184821836650372,True,False
123,265,720575940629320010,LPLC4,left,0.01108839362859726,False,False
124,55,720575940613984578,LPLC4,left,0.010554333217442036,False,False
125,159,720575940622108001,LC4,left,0.010535701178014278,True,False
126,15,720575940610226645,LPLC2,left,0.010521483607590199,True,False
127,369,720575940647966260,PVLP024,left,0.010462271049618721,False,False
128,273,720575940630321464,LPLC4,left,0.010236487723886967,False,False
129,0,720575940603637438,LC4,right,0.009248537011444569,True,False
130,63,720575940614631079,LPLC2,left,0.009053364396095276,True,False
131,356,720575940642181005,LPLC4,left,0.009051709435880184,False,False
132,12,720575940609063236,LPLC4,left,0.008790423162281513,False,False
133,264,720575940629292785,LPLC2,left,0.008617979474365711,True,False
134,128,720575940619750822,LPLC2,left,0.00851258635520935,True,False
135,116,720575940618886710,PVLP076,left,0.00847897119820118,False,False
136,320,720575940635835967,LC4,right,0.008294924162328243,True,False
137,327,720575940636957006,LC4,right,0.008248676545917988,True,False
138,340,720575940639177449,LPLC2,right,0.007999732159078121,True,False
139,186,720575940624203972,LPLC4,left,0.007709055673331022,False,False
140,64,720575940614738444,LPLC2,left,0.007542784791439772,True,False
141,1,720575940603989420,LPLC2,left,0.007412778679281473,True,False
142,118,720575940619014981,LPLC4,left,0.007318148855119944,False,False
143,176,720575940623652083,LPLC2,left,0.0072111873887479305,True,False
144,300,720575940633013355,LC4,right,0.007167595438659191,True,False
145,203,720575940625574844,LPLC4,left,0.007149639539420605,False,False
146,130,720575940619981494,LPLC2,left,0.007031254004687071,True,False
147,357,720575940642397128,LPLC2,right,0.0068528619594872,True,False
148,28,720575940612093351,LC4,right,0.0068454439751803875,True,False
149,104,720575940618275520,LC4,right,0.006761169992387295,True,False
150,143,720575940620795728,LC4,left,0.006754810456186533,True,False
151,147,720575940621067204,PVLP021,left,0.006451066583395004,False,False
152,31,720575940612323025,LC4,right,0.00645078532397747,True,False
153,162,720575940622312072,LPLC2,left,0.0064043402671813965,True,False
154,135,720575940620314221,LC4,right,0.006272909697145224,True,False
155,299,720575940632779932,LPLC2,left,0.006270190700888634,True,False
156,62,720575940614582946,LC4,right,0.006238296627998352,True,False
157,290,720575940632080146,LPLC2,left,0.006199212279170752,True,False
158,121,720575940619263937,LPLC2,left,0.006096120458096266,True,False
159,150,720575940621365236,PVLP021,left,0.006013429258018732,False,False
160,41,720575940612968421,LC4,right,0.006009391974657774,True,False
161,269,720575940629964591,LC4,right,0.005971942562609911,True,False
162,111,720575940618709158,LC4,right,0.005957843270152807,True,False
163,46,720575940613256863,LC4,left,0.005895510315895081,True,False
164,51,720575940613638041,LC4,right,0.005886083468794823,True,False
165,243,720575940628081541,LC4,left,0.005881635006517172,True,False
166,296,720575940632715234,LC4,right,0.005856356117874384,True,False
167,102,720575940618266459,LC4,right,0.005812429822981358,True,False
168,21,720575940611091012,CB3513b,left,0.0056920405477285385,False,False
169,101,720575940618234715,LC4,right,0.005486560054123402,True,False
170,271,720575940630154660,LC4,right,0.00548325153067708,True,False
171,190,720575940624417584,LPLC2,left,0.0054217237047851086,True,False
172,94,720575940617348379,LC4,right,0.005295764654874802,True,False
173,247,720575940628454522,LC4,left,0.005220068618655205,True,False
174,100,720575940618234704,LC4,right,0.005214854143559933,True,False
175,45,720575940613238418,LPLC4,left,0.005213397089391947,False,False
176,350,720575940640834211,PVLP011,left,0.005173723679035902,False,False
177,103,720575940618267227,LC4,right,0.005169528070837259,True,False
178,314,720575940635119723,LHAD1g1,left,0.0050795841962099075,False,False
179,148,720575940621145821,LC4,right,0.005016889423131943,True,False
180,70,720575940615232217,LC4,right,0.004987915512174368,True,False
181,157,720575940621914904,LPLC2,left,0.00488205486908555,True,False
182,127,720575940619709972,PVLP024,left,0.0047873021103441715,False,False
183,283,720575940631312428,LPLC2,right,0.004769118968397379,True,False
184,242,720575940628064260,LC4,left,0.004727249965071678,True,False
185,212,720575940625932421,LC4,right,0.004656221251934767,True,False
186,91,720575940617266722,LC4,left,0.0046532792039215565,True,False
187,34,720575940612498129,LC4,right,0.004624161869287491,True,False
188,376,720575940661316993,LPLC2,right,0.004600103944540024,True,False
189,361,720575940645328436,LPLC2,left,0.00457430724054575,True,False
190,260,720575940628891863,LC4,right,0.004535033367574215,True,False
191,50,720575940613609484,LC4,right,0.004515182226896286,True,False
192,223,720575940626553596,LC4,right,0.004451626446098089,True,False
193,295,720575940632711052,LPLC2,right,0.004412402398884296,True,False
194,254,720575940628606713,LC4,right,0.004410559311509132,True,False
195,7,720575940607683011,LPLC2,right,0.004408095497637987,True,False
196,141,720575940620731380,LC4,right,0.004402789752930403,True,False
197,136,720575940620314612,LC4,right,0.004395496565848589,True,False
198,307,720575940634146967,LPLC2,right,0.004389547277241945,True,False
199,330,720575940637702222,LPLC2,right,0.004379688762128353,True,False
200,249,720575940628518400,LC4,right,0.00437929155305028,True,False
201,286,720575940631397549,LPLC2,right,0.0043435534462332726,True,False
202,152,720575940621522458,LC4,right,0.0042782980017364025,True,False
203,336,720575940638857048,LPLC2,right,0.00426074443385005,True,False
204,328,720575940636999401,LPLC2,right,0.004238782450556755,True,False
205,333,720575940638496720,LC4,left,0.004226555582135916,True,False
206,246,720575940628419527,LC4,right,0.004213924985378981,True,False
207,95,720575940617480094,LPLC2,left,0.00419518630951643,True,False
208,177,720575940623769783,LPLC2,right,0.004169507883489132,True,False
209,252,720575940628599895,LC4,right,0.0041631292551755905,True,False
210,17,720575940610536290,LPLC2,right,0.004147726576775312,True,False
211,163,720575940622330582,LC4,right,0.004129649605602026,True,False
212,251,720575940628552247,LPLC2,left,0.004107894375920296,True,False
213,18,720575940610681829,LPLC2,right,0.004076287150382996,True,False
214,53,720575940613804906,LPLC2,right,0.004075775854289532,True,False
215,288,720575940631742405,LPLC2,right,0.0040738545358181,True,False
216,289,720575940632009167,LPLC2,left,0.004072554409503937,True,False
217,281,720575940631032657,LC4,right,0.0040479544550180435,True,False
218,37,720575940612580977,LC4,left,0.004040032159537077,True,False
219,253,720575940628603842,LPLC2,right,0.004025002475827932,True,False
220,367,720575940647358243,LPLC2,right,0.004018859937787056,True,False
221,236,720575940627553923,LPLC2,right,0.004017772153019905,True,False
222,235,720575940627519107,LC4,left,0.004015387501567602,True,False
223,287,720575940631582751,LPLC2,right,0.004010653123259544,True,False
224,202,720575940625477721,LPLC2,left,0.00399797223508358,True,False
225,294,720575940632512226,LPLC2,right,0.003988910000771284,True,False
226,319,720575940635572592,LPLC2,right,0.003985223360359669,True,False
227,293,720575940632475449,LC4,right,0.003983141854405403,True,False
228,2,720575940605598892,LC4,left,0.003979139029979706,True,False
229,23,720575940611352234,LPLC2,right,0.00397479860112071,True,False
230,131,720575940620001718,LPLC2,right,0.003970149904489517,True,False
231,276,720575940630719831,LPLC2,right,0.003954507410526276,True,False
232,326,720575940636950505,LPLC2,right,0.003947506193071604,True,False
233,6,720575940606855554,LPLC2,right,0.003946542274206877,True,False
234,354,720575940641552347,LPLC2,left,0.003946182783693075,True,False
235,360,720575940645180196,LPLC2,right,0.003946023527532816,True,False
236,358,720575940642414837,LPLC2,left,0.00394417205825448,True,False
237,364,720575940645699124,LPLC2,right,0.00394399045035243,True,False
238,267,720575940629384271,LPLC2,right,0.003935995977371931,True,False
239,238,720575940627685765,LPLC2,left,0.003932244144380093,True,False
240,274,720575940630484495,LC4,left,0.003925969824194908,True,False
241,303,720575940633552685,LPLC2,right,0.003913899417966604,True,False
242,239,720575940627902078,LPLC2,left,0.003913561347872019,True,False
243,363,720575940645407268,LPLC2,left,0.0039054390508681536,True,False
244,106,720575940618312606,LC4,left,0.0038990520406514406,True,False
245,210,720575940625906702,LC4,right,0.0038970618043094873,True,False
246,33,720575940612462307,LPLC2,right,0.003891168860718608,True,False
247,228,720575940626745392,LPLC2,right,0.0038780998438596725,True,False
248,42,720575940612994929,LPLC2,right,0.0038770646788179874,True,False
249,196,720575940624903064,LPLC2,right,0.0038763133343309164,True,False
250,244,720575940628197892,LPLC2,right,0.0038728497456759214,True,False
251,374,720575940653742753,LPLC2,right,0.0038724506739526987,True,False
252,348,720575940640510427,LPLC2,right,0.00386981014162302,True,False
253,313,720575940635040357,LPLC2,right,0.0038514358457177877,True,False
254,302,720575940633218863,LC4,right,0.0038433726876974106,True,False
255,10,720575940608088259,LPLC2,left,0.0038424869999289513,True,False
256,241,720575940628039034,LPLC2,right,0.0038395789451897144,True,False
257,316,720575940635307639,LPLC2,left,0.003835370298475027,True,False
258,168,720575940622769159,LPLC2,right,0.003834455506876111,True,False
259,198,720575940624931530,LPLC2,right,0.0038331623654812574,True,False
260,30,720575940612254701,LPLC2,right,0.003827787935733795,True,False
261,270,720575940629967703,LPLC2,right,0.00382738234475255,True,False
262,195,720575940624856762,LC4,right,0.0038193115033209324,True,False
263,351,720575940640926627,CB3513a,left,0.0038167161401361227,False,False
264,145,720575940620887834,LPLC2,right,0.0038166907615959644,True,False
265,324,720575940636539102,LPLC2,right,0.0038086550775915384,True,False
266,297,720575940632769180,LC4,left,0.003807146567851305,True,False
267,370,720575940648418425,LPLC2,left,0.0038051737938076258,True,False
268,233,720575940627368254,LPLC2,left,0.0038046170957386494,True,False
269,20,720575940610953651,LPLC2,right,0.0038036108016967773,True,False
270,25,720575940611740569,LPLC2,right,0.003803072264418006,True,False
271,331,720575940637958709,LPLC2,right,0.0038017104379832745,True,False
272,179,720575940623925774,LPLC2,left,0.003801146987825632,True,False
273,329,720575940637088602,LPLC2,right,0.0037994629237800837,True,False
274,256,720575940628778058,LPLC2,right,0.003794401418417692,True,False
275,275,720575940630650936,LPLC2,right,0.003792392322793603,True,False
276,86,720575940616491993,LPLC2,right,0.0037917797453701496,True,False
277,112,720575940618711535,LPLC2,right,0.0037907082587480545,True,False
278,304,720575940633580384,LC4,left,0.0037903012707829475,True,False
279,227,720575940626735016,LPLC2,right,0.0037900747265666723,True,False
280,125,720575940619654149,LPLC2,right,0.003788638161495328,True,False
281,282,720575940631095158,LPLC2,right,0.003786918008700013,True,False
282,98,720575940618002644,LC4,left,0.003783494234085083,True,False
283,52,720575940613763759,LPLC2,left,0.0037791633512824774,True,False
284,309,720575940634517856,LC4,left,0.0037764788139611483,True,False
285,142,720575940620783180,LPLC2,right,0.003771810559555888,True,False
286,373,720575940653666465,LPLC2,left,0.0037698629312217236,True,False
