controller,difficulty,seed,success,collision,timeout,steps,time_s,path_m,min_clearance_m,progress,decision_us
modified_fly,sparse,7006,False,False,True,650,52.0,193.4737384192504,4.619184827452736,0.8274429708274539,64.19784689429574
modified_fly,sparse,7007,True,False,False,200,16.0,60.01701553836364,5.019467012550707,0.9780388690817935,63.65850014844909
modified_fly,sparse,7008,True,False,False,302,24.16,85.53364606478331,3.6251576759104784,0.9768391061201827,63.192051822251784
modified_fly,sparse,7009,True,False,False,213,17.04,62.40611943345675,2.627275564427172,0.9774499335212439,63.60422460222398
modified_fly,sparse,7010,True,False,False,192,15.36,53.30932092525154,3.4438718055674356,0.9770348060907154,64.3192700711855
modified_fly,sparse,7011,True,False,False,212,16.96,63.1147204888112,3.2891390895873385,0.9767752062863269,65.09528241124671
modified_fly,sparse,7012,False,False,True,650,52.0,165.16702186964542,2.201295022145378,0.9607920219876375,64.40676909943039
modified_fly,sparse,7013,False,False,True,650,52.0,192.0736346709741,4.136804792123903,0.961092379502175,64.74538419682246
modified_fly,sparse,7014,False,False,True,650,52.0,186.59820672068287,2.4327558655821986,0.9571729888725778,64.9098458681972
modified_fly,sparse,7015,True,False,False,201,16.080000000000002,60.35473366053622,3.7202786752732355,0.97846316485619,65.00895546902137
modified_fly,sparse,7016,True,False,False,254,20.32,68.39337125622122,2.5678891124387375,0.9780542833750825,63.441733199017726
modified_fly,sparse,7017,True,False,False,249,19.92,70.63827810337649,4.28824905432468,0.977162822794125,63.985140375179576
modified_fly,sparse,7018,True,False,False,205,16.4,60.923234611235465,2.862309075011438,0.9769424851639739,63.61463513202602
modified_fly,sparse,7019,False,False,True,650,52.0,190.2125138893286,1.1368284887947175,0.9130337922553132,63.63692245661066
modified_fly,sparse,7020,True,False,False,198,15.84,57.084658060834464,3.639634893794859,0.9804148851343898,66.21666640664141
modified_fly,sparse,7021,False,False,True,650,52.0,192.77362395353265,4.024490241688088,0.8612391528218617,63.72522992583421
modified_fly,sparse,7022,True,False,False,283,22.64,73.6397074759772,0.46399240075589,0.981179010732384,64.19045718176152
modified_fly,sparse,7023,True,False,False,238,19.04,66.29395063889412,3.2446743245347656,0.9767155982952884,63.525209792287036
modified_fly,sparse,7024,True,False,False,246,19.68,68.66161362532745,1.8390402100965513,0.9777791133067026,64.03414732719794
modified_fly,sparse,7025,True,False,False,242,19.36,66.18752607423272,2.4020378726955003,0.9760465194882395,63.58140563854008
modified_fly,sparse,7026,True,False,False,319,25.52,91.8401974255889,2.0701509061275436,0.9799025761967355,63.729152316227555
modified_fly,sparse,7027,True,False,False,204,16.32,61.51822534787026,4.5353428733929935,0.9793018654177034,63.57451011175655
modified_fly,sparse,7028,True,False,False,225,18.0,64.91170553264982,1.3324441822437763,0.9808490237127395,65.30711129825148
modified_fly,sparse,7029,True,False,False,308,24.64,87.52207412062084,1.2599140042409585,0.9771840010039323,63.63116992431898
classical_vfh,sparse,7000,True,False,False,156,12.48,48.895031145223705,0.8721751192126384,0.9779006229044741,58.579488839500414
